probability_nonAMP	probability_AMP	predicted	seq_id
0.07458333333333333	0.9254166666666667	AMP	AMP0
0.075	0.925	AMP	AMP1
0.0125	0.9875	AMP	AMP2
0.125	0.875	AMP	AMP3
0.35	0.65	AMP	AMP4
0.1	0.9	AMP	AMP5
0.03125	0.96875	AMP	AMP6
0.025	0.975	AMP	AMP7
0.16520833333333335	0.8347916666666666	AMP	AMP8
0.06343750000000001	0.9365625	AMP	AMP9
0.0046875	0.9953125	AMP	AMP10
0.009375	0.990625	AMP	AMP11
0.0046875	0.9953125	AMP	AMP12
0.15520833333333334	0.8447916666666666	AMP	AMP13
0.3046875	0.6953125	AMP	AMP14
0.2114583333333333	0.7885416666666668	AMP	AMP15
0.103125	0.8968750000000002	AMP	AMP16
0.1434375	0.8565625000000001	AMP	AMP17
0.08333333333333334	0.9166666666666666	AMP	AMP18
0.0625	0.9375	AMP	AMP19
0.0796875	0.9203125	AMP	AMP20
0.11875	0.88125	AMP	AMP21
0.0625	0.9375	AMP	AMP22
0.1875	0.8125	AMP	AMP23
0.0515625	0.9484375	AMP	AMP24
0.034375	0.965625	AMP	AMP25
0.028125	0.971875	AMP	AMP26
0.028125	0.971875	AMP	AMP27
0.028125	0.971875	AMP	AMP28
0.06979166666666667	0.9302083333333334	AMP	AMP29
0.23937499999999998	0.760625	AMP	AMP30
0.05	0.95	AMP	AMP31
0.00625	0.99375	AMP	AMP32
0.0	1.0	AMP	AMP33
0.0	1.0	AMP	AMP34
0.0	1.0	AMP	AMP35
0.0	1.0	AMP	AMP36
0.00625	0.99375	AMP	AMP37
0.01875	0.98125	AMP	AMP38
0.47614583333333327	0.5238541666666667	AMP	AMP39
0.09635416666666667	0.9036458333333333	AMP	AMP40
0.084375	0.915625	AMP	AMP41
0.03125	0.96875	AMP	AMP42
0.00625	0.99375	AMP	AMP43
0.0921875	0.9078125	AMP	AMP44
0.2875	0.7125	AMP	AMP45
0.225	0.775	AMP	AMP46
0.1212797619047619	0.8787202380952381	AMP	AMP47
0.0125	0.9875	AMP	AMP48
0.0125	0.9875	AMP	AMP49
0.13020833333333334	0.8697916666666666	AMP	AMP50
0.03125	0.96875	AMP	AMP51
0.0625	0.9375	AMP	AMP52
0.06875	0.93125	AMP	AMP53
0.11979166666666666	0.8802083333333334	AMP	AMP54
0.17291666666666666	0.8270833333333334	AMP	AMP55
0.5212946428571428	0.4787053571428571	nonAMP	AMP56
0.11770833333333335	0.8822916666666668	AMP	AMP57
0.03958333333333333	0.9604166666666666	AMP	AMP58
0.0375	0.9625	AMP	AMP59
0.29375	0.70625	AMP	AMP60
0.01875	0.98125	AMP	AMP61
0.01875	0.98125	AMP	AMP62
0.22083333333333335	0.7791666666666666	AMP	AMP63
